stage_b_order	accession	artifact_role	relative_path	bytes	sha256	row_sha256
6	GCF_020829045.1	canonical_bgzf	canonical_objects/GCF_020829045.1/GCF_020829045.1.pansn.fa.gz	1463145	cfd7f44fb88c8bc457f23d91602cf55526d8319cdcdedd422e2659b20016aacf	0f9477201af8020225c8c69094c5170be9e5037145528072bdca6df3061b3387
6	GCF_020829045.1	fai	canonical_objects/GCF_020829045.1/GCF_020829045.1.pansn.fa.gz.fai	457	38ab9b32ca74f9fc45a85576373a877e0e9deb49b5f8d90dc08169736921cc10	8f9091664ceb62431bdcac7be6b396be824afff95ff308b14e68f416645f4afd
6	GCF_020829045.1	gzi	canonical_objects/GCF_020829045.1/GCF_020829045.1.pansn.fa.gz.gzi	1288	3f11c63059a7c2859685372721932c434495afff86e69723f1c7fdb05f32dca3	6a9fec2d8c8bfe6326e4905e188d800fdaf4d35b8756db3273e72b1e7d52fe71
6	GCF_020829045.1	contig_crosswalk	canonical_objects/GCF_020829045.1/contigs.tsv	6472	cca6244357a98acba290bd63f43cebfe290d52f1e065aac7b237f4bd8e9e5232	00892e1740a6d63818324f0b3f765fb26841136d80cadb97a617db864a4becb9
6	GCF_020829045.1	annotation_aliases	canonical_objects/GCF_020829045.1/annotation_aliases.tsv	3096	a0fe3915c35f2be7c33a13ace4f8a81d3af229ef71e7e242982349c1b45d6826	d4650105ff22aeccb92b59b9bff26f619196fe4bb34f9fe4e78bf0a85797a86b
6	GCF_020829045.1	canonical_manifest	canonical_objects/GCF_020829045.1/manifest.json	2345	b079868a3d71a27c8f69c1dfd17eaddfe4cc587cdc6ab7841bd3cb467e496b8a	5f60d43db05d3f22bf3031ae36fc058bb783d13a24b1a1596b0af143a1f8a199
7	GCF_921380995.1	source_package	source_objects/GCF_921380995.1/package.zip	2063121	7df402b50da831353259a824e18ecc60398506f0e54d898485648ec6932bb247	d242a0ffcc5cc5cff017ce5cba46b71a57ef19e987ceaf67638939996bf59c93
7	GCF_921380995.1	source_manifest	source_objects/GCF_921380995.1/manifest.json	3825	bbbbfbaaeab5fd8bb01b1a15744360206913fbdb1d4a468b9d147e269d8bcc35	6209056de6fbb52b1f28f4d2749853cdc5dbd536b8896e1f8935435c7631719c
7	GCF_921380995.1	canonical_bgzf	canonical_objects/GCF_921380995.1/GCF_921380995.1.pansn.fa.gz	1492512	63eccca9fbdae27b72a22f488a632572ff0d7134a87fae8adc1b55f994563734	239028c500734c6aa33cd341af929d4c7b4a44d6a05ab2146115ac32fd901567
7	GCF_921380995.1	fai	canonical_objects/GCF_921380995.1/GCF_921380995.1.pansn.fa.gz.fai	9305	5ec2b4ff99e9bd5bb2b2ff094096810dd625a72429872d76d7d81cb0fc9af11b	753e78be4973ff1b56873ef9b84881e59ace12bd9aae63060b29eecff2705c10
7	GCF_921380995.1	gzi	canonical_objects/GCF_921380995.1/GCF_921380995.1.pansn.fa.gz.gzi	1304	a4402d279ca400d375f7bd95f46425de46798e423388f385ba69e7b42d1ca8ad	d8608129cf77444648c8546060b76f480a3f971b65bdb621d41d3b7de48bef56
7	GCF_921380995.1	contig_crosswalk	canonical_objects/GCF_921380995.1/contigs.tsv	113305	1c679b68675612f0b0c1f43b524aebf6f23c5b7cbc9a3e5219120a83b1767c38	864f82f87083c38ae3ba015b9c238157a8abda514c8f346727e52ef42dbd10b6
