scope	metric	value	unit	denominator	denominator_label	fraction	notes
transposable_flag_positive	genomes_multiple_loci	1196	genomes	26077	normalized denominator genomes	0.04586417149	
transposable_flag_positive	genomes_with_locus	5642	genomes	26077	normalized denominator genomes	0.2163592438	
transposable_flag_positive	per_genome_unique_locus_count_min	0	loci/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_unique_locus_count_p01	0	loci/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_unique_locus_count_p05	0	loci/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_unique_locus_count_p25	0	loci/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_unique_locus_count_median	0	loci/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_unique_locus_count_p75	0	loci/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_unique_locus_count_p95	1	loci/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_unique_locus_count_p99	3	loci/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_unique_locus_count_max	11	loci/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_unique_locus_count_mean	0.2950876251	loci/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_unique_locus_count_population_sd	0.7009463012	loci/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_total_bp_1based_closed_min	0	bp/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_total_bp_1based_closed_p01	0	bp/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_total_bp_1based_closed_p05	0	bp/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_total_bp_1based_closed_p25	0	bp/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_total_bp_1based_closed_median	0	bp/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_total_bp_1based_closed_p75	0	bp/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_total_bp_1based_closed_p95	48392.2	bp/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_total_bp_1based_closed_p99	122129.24	bp/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_total_bp_1based_closed_max	442805	bp/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_total_bp_1based_closed_mean	8851.234575	bp/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_total_bp_1based_closed_population_sd	25422.49037	bp/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_total_bp_end_minus_begin_min	0	bp/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_total_bp_end_minus_begin_p01	0	bp/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_total_bp_end_minus_begin_p05	0	bp/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_total_bp_end_minus_begin_p25	0	bp/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_total_bp_end_minus_begin_median	0	bp/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_total_bp_end_minus_begin_p75	0	bp/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_total_bp_end_minus_begin_p95	48391.2	bp/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_total_bp_end_minus_begin_p99	122125.72	bp/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_total_bp_end_minus_begin_max	442794	bp/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_total_bp_end_minus_begin_mean	8850.939487	bp/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_total_bp_end_minus_begin_population_sd	25421.86455	bp/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_hit_scaffold_count_min	0	scaffolds/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_hit_scaffold_count_p01	0	scaffolds/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_hit_scaffold_count_p05	0	scaffolds/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_hit_scaffold_count_p25	0	scaffolds/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_hit_scaffold_count_median	0	scaffolds/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_hit_scaffold_count_p75	0	scaffolds/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_hit_scaffold_count_p95	1	scaffolds/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_hit_scaffold_count_p99	2	scaffolds/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_hit_scaffold_count_max	6	scaffolds/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_hit_scaffold_count_mean	0.2428576907	scaffolds/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	per_genome_hit_scaffold_count_population_sd	0.4952116557	scaffolds/genome	26077	normalized denominator genomes (zeros included)		
transposable_flag_positive	unique_locus_length_1based_closed_min	1570	bp/locus	7695	valid unique loci		
transposable_flag_positive	unique_locus_length_1based_closed_p01	4100.94	bp/locus	7695	valid unique loci		
transposable_flag_positive	unique_locus_length_1based_closed_p05	6787	bp/locus	7695	valid unique loci		
transposable_flag_positive	unique_locus_length_1based_closed_p25	13728	bp/locus	7695	valid unique loci		
transposable_flag_positive	unique_locus_length_1based_closed_median	25364	bp/locus	7695	valid unique loci		
transposable_flag_positive	unique_locus_length_1based_closed_p75	41877	bp/locus	7695	valid unique loci		
transposable_flag_positive	unique_locus_length_1based_closed_p95	67666.4	bp/locus	7695	valid unique loci		
transposable_flag_positive	unique_locus_length_1based_closed_p99	95678.24	bp/locus	7695	valid unique loci		
transposable_flag_positive	unique_locus_length_1based_closed_max	188573	bp/locus	7695	valid unique loci		
transposable_flag_positive	unique_locus_length_1based_closed_mean	29995.27537	bp/locus	7695	valid unique loci		
transposable_flag_positive	unique_locus_length_1based_closed_population_sd	20263.47673	bp/locus	7695	valid unique loci		
transposable_flag_positive	unique_locus_span_end_minus_begin_min	1569	bp/locus	7695	valid unique loci		
transposable_flag_positive	unique_locus_span_end_minus_begin_p01	4099.94	bp/locus	7695	valid unique loci		
transposable_flag_positive	unique_locus_span_end_minus_begin_p05	6786	bp/locus	7695	valid unique loci		
transposable_flag_positive	unique_locus_span_end_minus_begin_p25	13727	bp/locus	7695	valid unique loci		
transposable_flag_positive	unique_locus_span_end_minus_begin_median	25363	bp/locus	7695	valid unique loci		
transposable_flag_positive	unique_locus_span_end_minus_begin_p75	41876	bp/locus	7695	valid unique loci		
transposable_flag_positive	unique_locus_span_end_minus_begin_p95	67665.4	bp/locus	7695	valid unique loci		
transposable_flag_positive	unique_locus_span_end_minus_begin_p99	95677.24	bp/locus	7695	valid unique loci		
transposable_flag_positive	unique_locus_span_end_minus_begin_max	188572	bp/locus	7695	valid unique loci		
transposable_flag_positive	unique_locus_span_end_minus_begin_mean	29994.27537	bp/locus	7695	valid unique loci		
transposable_flag_positive	unique_locus_span_end_minus_begin_population_sd	20263.47673	bp/locus	7695	valid unique loci		
transposable_flag_positive	overlap_pairs	0	locus pairs	7695	valid unique loci		
transposable_flag_positive	overlap_participating_loci	0	loci	7695	valid unique loci	0	
transposable_flag_positive	pairwise_overlap_bp	0	bp	0	overlapping locus pairs		
transposable_flag_positive	one_bp_overlap_pairs	0	locus pairs	0	overlapping locus pairs		
transposable_flag_positive	nested_pairs	0	locus pairs	7695	valid unique loci		
transposable_flag_positive	nested_participating_loci	0	loci	7695	valid unique loci	0	
transposable_flag_positive	begin_le_3	365	loci	7695	valid unique loci	0.04743339831	diagnostic threshold; not proof of artifact
transposable_flag_positive	length_lt_1000_bp	0	loci	7695	valid unique loci	0	diagnostic threshold; not proof of artifact
transposable_flag_positive	length_gt_200000_bp	0	loci	7695	valid unique loci	0	diagnostic threshold; not proof of artifact
taxonomy_assigned	source_records	115442	records	132404	all normalized records	0.8718920879	
taxonomy_assigned	unique_loci	115442	loci	115442	taxonomy_assigned source records	1	
taxonomy_assigned	valid_coordinate_unique_loci	115442	loci	115442	taxonomy_assigned unique loci	1	
taxonomy_assigned	total_bp_1based_closed	3092341893	bp	115442	valid unique loci		sum(end-begin+1)
taxonomy_assigned	total_bp_end_minus_begin	3092226451	bp	115442	valid unique loci		coordinate-convention sensitivity sum(end-begin)
taxonomy_assigned	genomes_zero_loci	171	genomes	26077	normalized denominator genomes	0.00655750278	
taxonomy_assigned	genomes_one_locus	1790	genomes	26077	normalized denominator genomes	0.06864286536	
taxonomy_assigned	genomes_multiple_loci	24116	genomes	26077	normalized denominator genomes	0.9247996319	
taxonomy_assigned	genomes_with_locus	25906	genomes	26077	normalized denominator genomes	0.9934424972	
taxonomy_assigned	per_genome_unique_locus_count_min	0	loci/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_unique_locus_count_p01	1	loci/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_unique_locus_count_p05	1	loci/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_unique_locus_count_p25	3	loci/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_unique_locus_count_median	4	loci/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_unique_locus_count_p75	6	loci/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_unique_locus_count_p95	9	loci/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_unique_locus_count_p99	14	loci/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_unique_locus_count_max	23	loci/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_unique_locus_count_mean	4.426966292	loci/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_unique_locus_count_population_sd	2.525827453	loci/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_total_bp_1based_closed_min	0	bp/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_total_bp_1based_closed_p01	6750.92	bp/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_total_bp_1based_closed_p05	22248.4	bp/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_total_bp_1based_closed_p25	60774	bp/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_total_bp_1based_closed_median	99992	bp/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_total_bp_1based_closed_p75	151485	bp/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_total_bp_1based_closed_p95	268494.2	bp/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_total_bp_1based_closed_p99	533791.28	bp/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_total_bp_1based_closed_max	892706	bp/genome	26077	normalized denominator genomes (zeros included)		
taxonomy_assigned	per_genome_total_bp_1based_closed_mean	118585.0325	bp/genome	26077	normalized denominator genomes (zeros included)		
