cohort_order	accession	artifact_role	storage_release_id	storage_root	relative_path	bytes	sha256	reuse_status	row_sha256
27	GCF_017595115.1	canonical_manifest	SELF	.	canonical_objects/GCF_017595115.1/manifest.json	2351	6627a9a449ac3e494278e11ce8de1209176f132680c5531308de4f15705670db	CREATED_OR_CHECKSUM_RESUMED	3784aaaf3e90f8fae0e4292ff8f1ba4b5e69fe29c786732aabb40e28b96df0d4
28	GCF_014528625.1	source_package	SELF	.	source_objects/GCF_014528625.1/package.zip	2072203	f833110b3f60c78da7e770042bb895cf2755eecb4967ab0ecb9801d12a7701be	CREATED_OR_CHECKSUM_RESUMED	12f9e78d9cbfd5a1d0ab9f492367d54442bd67bf0dca9e9699eb7884d4af45b4
28	GCF_014528625.1	source_manifest	SELF	.	source_objects/GCF_014528625.1/manifest.json	3831	f6b1763fa2c659b50322310771f233590d9fa6f329fae31e552327054783ae17	CREATED_OR_CHECKSUM_RESUMED	b526c29116b57c2bc96f402a35fbd23afa6f685a9b022407193790351032fee1
28	GCF_014528625.1	canonical_bgzf	SELF	.	canonical_objects/GCF_014528625.1/GCF_014528625.1.pansn.fa.gz	1486395	a68ae366c43c0b8854cd0f0280f49651d5c0830a439f4a0ee85451a87aaa5005	CREATED_OR_CHECKSUM_RESUMED	6f15258d0e842bf9c69c82c102ba88d7567b5e1f9cdfe5ba5e10e4afcc0f734d
28	GCF_014528625.1	fai	SELF	.	canonical_objects/GCF_014528625.1/GCF_014528625.1.pansn.fa.gz.fai	11316	d9b94c59699716699e398bb72efbfcf8d19aad5f44a6f0043c2da75f87ee920d	CREATED_OR_CHECKSUM_RESUMED	096011ede8265977e39fab813b767c98fb53faaff678f66648d9cb72ebaa32e3
28	GCF_014528625.1	gzi	SELF	.	canonical_objects/GCF_014528625.1/GCF_014528625.1.pansn.fa.gz.gzi	1288	49ea01f98c3cbb37ec9281a06706d99a18c817edc7b67d1ebb4b7579dc975f1e	CREATED_OR_CHECKSUM_RESUMED	8f3bbef15b25bd2dfcc39c74063e9c6519b886435a246ef78670467929f10754
28	GCF_014528625.1	contig_crosswalk	SELF	.	canonical_objects/GCF_014528625.1/contigs.tsv	150154	c9c0c2007f3f0c5f728cc1339d8061079959cc5603e356913e7f4acf8fccaa13	CREATED_OR_CHECKSUM_RESUMED	000b5121b36f2544e6fc9130d7b1293d3ddad55c771348503ad4c49a607f3e0f
28	GCF_014528625.1	annotation_aliases	SELF	.	canonical_objects/GCF_014528625.1/annotation_aliases.tsv	70496	92f83083c7bd64b8a705799abc1a09012e62781d68674abf968df4ed02bc57cb	CREATED_OR_CHECKSUM_RESUMED	c741413aadda031475398456937ad5db1ea4af5d1edef047c83cb671a8098b9f
28	GCF_014528625.1	canonical_manifest	SELF	.	canonical_objects/GCF_014528625.1/manifest.json	2351	3fc9053cf4132249e98a18f3c6b0d9d7253869eb40e5b28de922dce17c651e9f	CREATED_OR_CHECKSUM_RESUMED	e481536da3562454a7138a15054dec9f82d72e26022b66f500e2dbac9809ec24
29	GCF_008041205.1	source_package	SELF	.	source_objects/GCF_008041205.1/package.zip	2119678	ac235522b91ddd485ddd518bbe80f7d44455249e67bcbeb8dd2a188ea929740e	CREATED_OR_CHECKSUM_RESUMED	7e60e98f80f65b159131a6a984119cfa36cb219cc520851e2ffdd25455be327c
29	GCF_008041205.1	source_manifest	SELF	.	source_objects/GCF_008041205.1/manifest.json	3830	09b97791282754315cef2f8e7a1b159c9693fdbf3bdf460fcb176a0809cdf050	CREATED_OR_CHECKSUM_RESUMED	c1fc4c3a1c5c32c28b85b83f29d978e0296f0291bb839896447dc7a172460c14
29	GCF_008041205.1	canonical_bgzf	SELF	.	canonical_objects/GCF_008041205.1/GCF_008041205.1.pansn.fa.gz	1514325	415a15651b1ee4264fd88de1822a378ac314b5a222dbe62fa3812c4b855694f1	CREATED_OR_CHECKSUM_RESUMED	f0ef5e103cbbb20e7ae8d07f0eab8cf2958e8b238a36254328c65e11249f17e2
29	GCF_008041205.1	fai	SELF	.	canonical_objects/GCF_008041205.1/GCF_008041205.1.pansn.fa.gz.fai	9283	f073c7a4ee4e3f3fe3e28a825476c17abb37828d1e81beb315a573ce70eea020	CREATED_OR_CHECKSUM_RESUMED	169f4fd2454667925eaf9ae844054b862a0b0de097ea415e84b7e696a6a8e23e
29	GCF_008041205.1	gzi	SELF	.	canonical_objects/GCF_008041205.1/GCF_008041205.1.pansn.fa.gz.gzi	1320	3213aa96db842d35dd9614f2d0d60a8555cc940db2b5466258fb45b0916a4e39	CREATED_OR_CHECKSUM_RESUMED	868ad0cbdd3037cc284860758c02c613e5e44a9da7d7459ef0dde904d5d7cf6c
29	GCF_008041205.1	contig_crosswalk	SELF	.	canonical_objects/GCF_008041205.1/contigs.tsv	126702	49553b40c674567b6815f699bfd43b6f56b2cf46ef21f218d40421c82850189c	CREATED_OR_CHECKSUM_RESUMED	25472808dc44a59cba26bf211b088eaa075c27a576be0390d00e90fea32c56ab
29	GCF_008041205.1	annotation_aliases	SELF	.	canonical_objects/GCF_008041205.1/annotation_aliases.tsv	57930	1572ef6a528a6c6aaee15f0498798c05f3c9c2c4f4bad20fff05a754d26ded94	CREATED_OR_CHECKSUM_RESUMED	c5c919d202d94777b9d8b1ee1e25bc0cbc979863fe52a26654708471eafc4bc6
29	GCF_008041205.1	canonical_manifest	SELF	.	canonical_objects/GCF_008041205.1/manifest.json	2349	7ee11be9298078114b8dbcb92adb30a0a277cb0ff3023997f78ab853f8eddde2	CREATED_OR_CHECKSUM_RESUMED	25c0506308f187fbbbb1d6c631befc2f4334c0dc01477edae824801dbd8f40eb
30	GCF_009820795.1	source_package	SELF	.	source_objects/GCF_009820795.1/package.zip	1935834	88efd15e2bfc87e07cfc59ec437d16de2110cbf79898dd8e1bc70cc465c7577b	CREATED_OR_CHECKSUM_RESUMED	b60e86af46877418ee9d2d8d4882c563b6b7710d9d2e3f616f76d3188f413b06
30	GCF_009820795.1	source_manifest	SELF	.	source_objects/GCF_009820795.1/manifest.json	3830	5e885b9a7c3783abb07739f7c45ab31e0f9337f6c7f6d67ccc8a0020b594f355	CREATED_OR_CHECKSUM_RESUMED	ff6d185eb0a1dd3fa06499d790fb3a7e84b276859245fee790750cf54ae756b2
30	GCF_009820795.1	canonical_bgzf	SELF	.	canonical_objects/GCF_009820795.1/GCF_009820795.1.pansn.fa.gz	1387105	90ab7b2dd5afb8cca83826c32bc5b7532fb802be776a631e42d3a901285241d7	CREATED_OR_CHECKSUM_RESUMED	53511da133975d77c0ea1d63a09297b5fd2fee1f068a344b5209397dcb19ad9a
30	GCF_009820795.1	fai	SELF	.	canonical_objects/GCF_009820795.1/GCF_009820795.1.pansn.fa.gz.fai	4721	9c26410117c1652198812bc47c6055355ffe48e62a05fcb1477b4b9625a9c977	CREATED_OR_CHECKSUM_RESUMED	bccaf205c466354bc4c297af4f8ec22d8a29645a4143a3828badfe4850e013c7
30	GCF_009820795.1	gzi	SELF	.	canonical_objects/GCF_009820795.1/GCF_009820795.1.pansn.fa.gz.gzi	1208	98b13a2404abe6d287ea823a26c5d39fb77a1035147174cc2654380a7281c5a7	CREATED_OR_CHECKSUM_RESUMED	445b04ba662e4dd25b605e63da446de24e73072093908050e4f2f431df1ab7c0
30	GCF_009820795.1	contig_crosswalk	SELF	.	canonical_objects/GCF_009820795.1/contigs.tsv	64222	b171f2b7ed7e7942f306b3a5925c1bbffe61cae6522571edaf8b0753c3a6524b	CREATED_OR_CHECKSUM_RESUMED	33d02dcc6859718b408f45303234123bf67f84e31ea5a1bc66a255afc3ec7365
30	GCF_009820795.1	annotation_aliases	SELF	.	canonical_objects/GCF_009820795.1/annotation_aliases.tsv	29213	04bd10a598ece9000645715abf07e6761a09ca38d921fc6981b05ab36ed4723f	CREATED_OR_CHECKSUM_RESUMED	422466939aedc20b808b322ddee564da82b51fdb04748643ff1b244e74785a38
30	GCF_009820795.1	canonical_manifest	SELF	.	canonical_objects/GCF_009820795.1/manifest.json	2346	52a9e1843581742ce688b6837e062c9ff4eadba01740eba2bdad78bfdeae457d	CREATED_OR_CHECKSUM_RESUMED	0a5e00006c99087435fe6d8cd96bc4fbf873458e8619a87becd6772157b936fb
