cohort_order	accession	storage_release_id	storage_root	source_object_relpath	source_inventory_sha256	canonical_object_relpath	canonical_inventory_sha256	reuse_status	predecessor_digest_match	row_sha256
21	GCF_018790115.1	SELF	.	source_objects/GCF_018790115.1	96e375b7e6382646de44e609131785e82e197611227de506647297327759222a	canonical_objects/GCF_018790115.1	656f911e0a13d8b90b8ec43c8b24c3852e27be8844ece938adb58568a610353d	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	efad2614fc0f0142afc76191d8c81896994100fb30f9eefe52a468114abddf38
22	GCF_002442365.1	SELF	.	source_objects/GCF_002442365.1	3eb746f5989f18de61fe997485dd868b1df0720c7c965d86ea44cf6a1f09cabe	canonical_objects/GCF_002442365.1	b5d79c946cfb735a4c0d518b7279755db96aa4f5c3ab217210f8ef151075d576	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	c09d11aee823b6b66e25fba3c669b2f4b82900db930fa726d78b42f60f0e9028
23	GCF_005885955.1	SELF	.	source_objects/GCF_005885955.1	aef995d9b4e896dd42333aefa7476d89d7e931141b6e9afc900a77990b8710c5	canonical_objects/GCF_005885955.1	af060462f03b47bcc46720e47bfccc81f078202949398aa2958010eaf44d2fdc	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	4359223c67bee621bec1f9b68af07d9b43e52e055f614d95571ea326b6192662
24	GCF_002513075.1	SELF	.	source_objects/GCF_002513075.1	8e43eeabc1a8a5055e4791414102d2d0d349851f330425e04ef6f9bb9708745b	canonical_objects/GCF_002513075.1	fac664a916136296a16f98c4c04d9b3d5ef4d3c845e4545a2223cb32d3c83966	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	b79ceb7aeb0c9c9eb51fd7d1a27015265b0390cc48bfa7aff196ce76cba01415
25	GCF_902810185.1	SELF	.	source_objects/GCF_902810185.1	5ede165c0d601cba3f32415055ecf386a03689d02158458d383c6ad3b215bd04	canonical_objects/GCF_902810185.1	31d07eb3801f392c4de8a5d084793adbfa733eba0502a5a5a027b14146bdd2cc	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	91b088b5b55028d690f2e824cd12e21b58ceb944baae3f704b46fbbc602c760d
26	GCF_005043025.1	SELF	.	source_objects/GCF_005043025.1	82c6db2b5dd2fc0d092a2a4ae6658a1202b0b83fe5529ca7c33a061c394fe788	canonical_objects/GCF_005043025.1	a9d34fe43f33622cb02aad9108f6021c52b659275d3e28c9dea960f598d9ed8e	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	141ffddd56c6f4d4605bd3c9c5d176e54ad0fea36b901754357d1b5d1f45394c
27	GCF_017595115.1	SELF	.	source_objects/GCF_017595115.1	43a20b505200443ddb8bcf97c412bc96bb025b990b91370271fc5b5998636920	canonical_objects/GCF_017595115.1	fd8ff5522205d996bd62e0b9b1a96a502d2dcdf6946fcf8344b72443a493bc25	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	c920e428ddab5a056c8747eb49b6ffb82c7cbce6695a2ccd1cd7c6ddf422b51a
28	GCF_014528625.1	SELF	.	source_objects/GCF_014528625.1	9aa00a0a152d6b33eacbf11342db2dd251631c77a25d035794c6b763f2522f11	canonical_objects/GCF_014528625.1	fdb0e4da3f59095c8244103f7f0856056661c1e4b892fc1cf8a0b84bbfcdfc02	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	1c2f5b2ded6c0936e04278311f7901a400435b7c52649d5185483efe2aa90b6b
29	GCF_008041205.1	SELF	.	source_objects/GCF_008041205.1	26dda5238b187eb7c558aab6fb57fd336b9afe2e33bd84926f7dc9b093a8d9fa	canonical_objects/GCF_008041205.1	497de45d06e35e629505113e7b489f95eed7d87254ae5e0decb35d15d4391251	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	14529e47c9127c173113634b8821f6e46c74b04cd50a47a562c4b88f13a57773
30	GCF_009820795.1	SELF	.	source_objects/GCF_009820795.1	0566296ed03f586d80dc0fe8aec1efbe2868058108a6e61966fb19ee9b10dd74	canonical_objects/GCF_009820795.1	aae568a7e3047bc0b498f3dc86d98ed542a3afeb34c36178a4b7e7903ab3c834	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	01bae8bc0c6479df9745f17f2bdfd275376e954e42ba0458b6b00ab8073230ac
31	GCF_900479385.1	SELF	.	source_objects/GCF_900479385.1	a1bef99387533fa8efdaf3f14e5a25554b3e6004c5b9eb4d0eb39f9959ab0abd	canonical_objects/GCF_900479385.1	1cb989f2be10d83914d53b895e3b82ded79125abf7497e3759eb0a1eb2f2dd9e	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	7ab8607efce37540675907aed4abc1e63643836b92c2714dccef1ffe59d89971
32	GCF_004767475.1	SELF	.	source_objects/GCF_004767475.1	cc2bb84168ac08913b0f616104a13eab339d6e27a50bfdafa49feb2a9e056eaf	canonical_objects/GCF_004767475.1	e320e3bdf1fcfd88ac52ecd1e8c47f75b87e92fa5e38b545e681341146e64445	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	2d2ff28cafd27b2fdadb0f0e38985f71ab3d53a5c7b28b26f396fc7577b56951
33	GCF_002519245.1	SELF	.	source_objects/GCF_002519245.1	078de2db5f5eba422859af00bbd659f184940e4e5d467bf0ccccebe422222aee	canonical_objects/GCF_002519245.1	043371a0c35bbfeb737f26f45848c88f97825dc2ffaa292ffdf887694c45d9c5	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	13425b3257756e4cdfeda4e5685b92d058032d66ea6386de0f2e32ee9c260634
34	GCF_015644305.1	SELF	.	source_objects/GCF_015644305.1	baff73741eae718bddda18e43df85caf697c248ab1a4b0520e974c8a0e017765	canonical_objects/GCF_015644305.1	1e3aecaa04419674f583707e47edc616813d0b2be63daa62c278489af7525b40	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	2ec8ae70a3a9170c1cbf519ead220d38beff7f3a97c3bd9ee41ce76a420b816e
35	GCF_001616285.1	SELF	.	source_objects/GCF_001616285.1	7e7d059d08e1e0da8546e7b523bbe8b5f91f7683a31a94c73520acf3d6bb76e2	canonical_objects/GCF_001616285.1	84121e43a50b0e6b9083b808c3cca8e0b44e669d7bfc8e5ab86cf644508579bc	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	df8dc2d676e4f4dfce5da4d1621a375cd60869fa947c1dca0345f40afdf2a6d2
36	GCF_001614645.1	SELF	.	source_objects/GCF_001614645.1	4dd6559ee94d8af35ead86322c29f14ca16de3be21815b364601d194edc05db7	canonical_objects/GCF_001614645.1	7dae0a547d9702f1fc406501bbeae0d99fa0b9cd019a835d243c0f8747f160e5	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	4d02c2534a021ed18686bad769d028ea3dde638afa527d8ceb9e6c6c90eeb57a
37	GCF_013370625.1	SELF	.	source_objects/GCF_013370625.1	8515fc2731857e756a8d2bb167b1ccecde2841ce48713d44180c66784ebea497	canonical_objects/GCF_013370625.1	8b3dc0c65f6768afe0313d5dbe2111f58ff7d5ac68b98939559fac4d4595a515	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	ef02f37012772700b8a853d3fb29e661d09dae3ed4dffc530151748cb426fb63
38	GCF_013608825.1	SELF	.	source_objects/GCF_013608825.1	4bf98b7d89b33cc94284fe13dacd7235cec6233b13d2340eb0c6838f3a3ca62f	canonical_objects/GCF_013608825.1	1883612caa607a05f86f17a82241b49d6c7bd41d4bf17027e064f3717f4da793	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	909cc3a1cce279bd46d734e1ba1cce3d322d6d4b813aa630f1b90172970219d8
39	GCF_005043625.1	SELF	.	source_objects/GCF_005043625.1	3ae198ef59e2e0002bf60041d389d6ed31b93e82491fc8f4297c42b7b07f156e	canonical_objects/GCF_005043625.1	fb1500672a9d0efcbc67d5580118d56baca7d9a42983dc1263b0dd6828a4eb52	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	297e9a9d621588848f9452806d83b3a391c112ca18ecec1e7f3f465ea2a10133
